Country Name,Year,gdp_per_energy,renewable_pct,Region,Income Group
Morocco,2021,14.20923458,16.47148798,Middle East & North Africa,Lower middle income
Mozambique,2021,4.126819288,0.721441823,Sub-Saharan Africa,Low income
Myanmar,2021,13.21152746,11.32617188,East Asia & Pacific,Lower middle income
Namibia,2021,14.27005775,25.58123249,Sub-Saharan Africa,Lower middle income
Nepal,2021,8.513033525,0,South Asia,Lower middle income
Netherlands,2021,16.89923408,33.05516903,Europe & Central Asia,High income
New Zealand,2021,12.34725353,27.11663043,East Asia & Pacific,High income
Nicaragua,2021,11.8115185,55.29147876,Latin America & Caribbean,Lower middle income
Niger,2021,10.56436861,7.825127334,Sub-Saharan Africa,Low income
Nigeria,2021,22.68762924,0,Sub-Saharan Africa,Lower middle income
North Macedonia,2021,15.21851471,4.733682878,Europe & Central Asia,Upper middle income
Norway,2021,16.79301952,7.686547789,Europe & Central Asia,High income
Oman,2021,6.500469735,1.939923605,Middle East & North Africa,High income
Pakistan,2021,11.53964867,7.808224493,Middle East & North Africa,Lower middle income
Panama,2021,29.93538773,10.37356464,Latin America & Caribbean,High income
Paraguay,2021,14.08157081,0.666143855,Latin America & Caribbean,Upper middle income
Peru,2021,19.7094776,5.778329619,Latin America & Caribbean,Upper middle income
Philippines,2021,16.67991022,13.98073154,East Asia & Pacific,Lower middle income
Poland,2021,14.06095497,15.73423852,Europe & Central Asia,High income
Portugal,2021,19.89286935,38.51491791,Europe & Central Asia,High income
Qatar,2021,6.830967985,0.276427645,Middle East & North Africa,High income
Romania,2021,21.00288033,15.01884984,Europe & Central Asia,High income
Russian Federation,2021,6.881657685,0.490596128,Europe & Central Asia,High income
Rwanda,2021,7.536785874,5.16498994,Sub-Saharan Africa,Low income
Saudi Arabia,2021,8.39564598,0.065298165,Middle East & North Africa,High income
Senegal,2021,14.18781245,13.29153605,Sub-Saharan Africa,Lower middle income
Serbia,2021,9.938002367,3.639178763,Europe & Central Asia,Upper middle income
Singapore,2021,22.22763518,4.022159928,East Asia & Pacific,High income
Slovak Republic,2021,11.59929329,8.395522388,Europe & Central Asia,High income
Slovenia,2021,14.60327341,4.637503149,Europe & Central Asia,High income
South Africa,2021,6.439709529,3.670596839,Sub-Saharan Africa,Upper middle income
Spain,2021,18.26719,35.04059246,Europe & Central Asia,High income
Sri Lanka,2021,27.15726712,7.771261334,South Asia,Lower middle income
Sudan,2021,7.62378193,0,Sub-Saharan Africa,Low income
Suriname,2021,10.86448459,0,Latin America & Caribbean,Upper middle income
Sweden,2021,13.7607415,24.36116835,Europe & Central Asia,High income
Switzerland,2021,30.91886372,7.627374589,Europe & Central Asia,High income
Syrian Arab Republic,2021,10.96125707,0.37104852,Middle East & North Africa,Low income
Tajikistan,2021,10.83808592,3.339833004,Europe & Central Asia,Lower middle income
Tanzania,2021,8.379265785,3.509606987,Sub-Saharan Africa,Lower middle income
Thailand,2021,10.95350432,17.29970835,East Asia & Pacific,Upper middle income
Togo,2021,6.245932614,11.7008,Sub-Saharan Africa,Low income
Trinidad and Tobago,2021,2.718703148,0.067595292,Latin America & Caribbean,High income
Tunisia,2021,12.9026962,2.692096848,Middle East & North Africa,Lower middle income
Turkiye,2021,16.94557513,18.71080266,Europe & Central Asia,Upper middle income
Turkmenistan,2021,3.216539756,0,Europe & Central Asia,Upper middle income
Uganda,2021,5.553930177,2.063115997,Sub-Saharan Africa,Low income
Ukraine,2021,8.039298449,5.470857555,Europe & Central Asia,Upper middle income
United Arab Emirates,2021,8.067812262,4.201345839,Middle East & North Africa,High income
United Kingdom,2021,21.45509874,37.83117384,Europe & Central Asia,High income
United States,2021,11.06255617,14.00779349,North America,High income
Uruguay,2021,17.90995177,51.39349797,Latin America & Caribbean,High income
Uzbekistan,2021,6.311587256,0.109580595,Europe & Central Asia,Lower middle income
Viet Nam,2021,12.52224895,10.17220628,East Asia & Pacific,Lower middle income
Zambia,2021,4.556115955,1.342339801,Sub-Saharan Africa,Lower middle income
Zimbabwe,2021,11.91860507,24.21860795,Sub-Saharan Africa,Lower middle income
