Country Name,Year,renewable_pct
High income,1990,0.967447537
High income,1991,0.495938719
High income,1992,0.612568833
High income,1993,0.643900322
High income,1994,0.694043699
High income,1995,0.614119933
High income,1996,0.606378493
High income,1997,0.667657319
High income,1998,0.69668975
High income,1999,0.800411285
High income,2000,1.583735782
High income,2001,1.633674217
High income,2002,1.820424126
High income,2003,1.971212783
High income,2004,2.207897327
High income,2005,2.457445421
High income,2006,2.728695987
High income,2007,3.066647952
High income,2008,3.494110051
High income,2009,4.079447407
High income,2010,4.483343231
High income,2011,5.316855848
High income,2012,6.112453297
High income,2013,7.008645352
High income,2014,7.734969283
High income,2015,8.634409633
High income,2016,9.238833437
High income,2017,10.3086083
High income,2018,10.80118995
High income,2019,11.95514615
High income,2020,13.63241234
High income,2021,14.08914566
Low income,1990,0
Low income,1991,0
Low income,1992,0
Low income,1993,0
Low income,1994,0
Low income,1995,0
Low income,1996,0
Low income,1997,0
Low income,1998,0
Low income,1999,0
Low income,2000,0
Low income,2001,0.409967236
Low income,2002,0.4477896
Low income,2003,0.337163523
Low income,2004,0.36249297
Low income,2005,0.371422895
Low income,2006,0.16238287
Low income,2007,0.097951514
Low income,2008,0.026590797
Low income,2009,0.221314175
Low income,2010,0.154318986
Low income,2011,0.316035163
Low income,2012,0.981977405
Low income,2013,0.909611246
Low income,2014,1.655307932
Low income,2015,0.898778198
Low income,2016,0.952322091
Low income,2017,1.470288813
Low income,2018,1.442287832
Low income,2019,1.555437219
Low income,2020,1.22432945
Low income,2021,0
Lower middle income,1990,1.178822615
Lower middle income,1991,1.09380329
Lower middle income,1992,1.050349727
Lower middle income,1993,0.990646297
Lower middle income,1994,1.014964143
Lower middle income,1995,0.988522411
Lower middle income,1996,1.039533094
Lower middle income,1997,1.098501537
Lower middle income,1998,1.20892558
Lower middle income,1999,1.299876429
Lower middle income,2000,2.430142325
Lower middle income,2001,1.840258422
Lower middle income,2002,1.5926758
Lower middle income,2003,0.294939655
Lower middle income,2004,1.334884952
Lower middle income,2005,1.010310459
Lower middle income,2006,1.882561056
Lower middle income,2007,1.904659836
Lower middle income,2008,3.493729025
Lower middle income,2009,3.273577513
Lower middle income,2010,2.665373726
Lower middle income,2011,2.462557786
Lower middle income,2012,3.99774988
Lower middle income,2013,3.122971186
Lower middle income,2014,4.281879282
Lower middle income,2015,4.367028581
Lower middle income,2016,4.018883734
Lower middle income,2017,4.635548169
Lower middle income,2018,5.178903372
Lower middle income,2019,6.154773815
Lower middle income,2020,7.898695548
Lower middle income,2021,8.308770429
Upper middle income,1990,0.388764572
Upper middle income,1991,0.473655221
Upper middle income,1992,0.526979902
Upper middle income,1993,0.459583376
Upper middle income,1994,0.426964926
Upper middle income,1995,0.603228737
Upper middle income,1996,0.600233612
Upper middle income,1997,0.548075134
Upper middle income,1998,0.577615585
Upper middle income,1999,0.642077307
Upper middle income,2000,0.831553088
Upper middle income,2001,0.837959459
Upper middle income,2002,0.851679573
Upper middle income,2003,0.889052695
Upper middle income,2004,0.853741169
Upper middle income,2005,0.935571977
Upper middle income,2006,0.812696894
Upper middle income,2007,1.017843638
Upper middle income,2008,1.234745866
Upper middle income,2009,1.563745656
Upper middle income,2010,1.954390319
Upper middle income,2011,2.310636543
Upper middle income,2012,2.822540892
Upper middle income,2013,3.252921044
Upper middle income,2014,3.708940231
Upper middle income,2015,4.593839764
Upper middle income,2016,5.901016479
Upper middle income,2017,6.85469725
Upper middle income,2018,8.038027493
Upper middle income,2019,9.090234021
Upper middle income,2020,10.16110211
Upper middle income,2021,11.91034154
